"from_org_id","to_org_id","1995-2009","2010-2024","before 1980","1980-1994"
"49731","49733",FALSE,FALSE,TRUE,FALSE
"49731","49737",FALSE,FALSE,TRUE,FALSE
"49731","49739",FALSE,FALSE,TRUE,FALSE
"49731","49765",FALSE,FALSE,TRUE,FALSE
"49731","49773",FALSE,FALSE,TRUE,FALSE
"49732","49733",FALSE,FALSE,TRUE,FALSE
"49732","49737",FALSE,FALSE,TRUE,FALSE
"49732","49739",FALSE,FALSE,TRUE,FALSE
"49732","49740",FALSE,FALSE,TRUE,FALSE
"49732","49741",FALSE,FALSE,TRUE,FALSE
"49732","49765",FALSE,FALSE,TRUE,FALSE
"49732","49773",FALSE,FALSE,TRUE,FALSE
"49732","49743",FALSE,FALSE,TRUE,FALSE
"49733","49737",FALSE,FALSE,TRUE,FALSE
"49733","49739",FALSE,FALSE,TRUE,FALSE
"49733","49740",FALSE,FALSE,TRUE,FALSE
"49733","49765",FALSE,FALSE,TRUE,FALSE
"49733","49773",FALSE,FALSE,TRUE,FALSE
"49737","49739",FALSE,FALSE,TRUE,FALSE
"49737","49740",FALSE,FALSE,TRUE,FALSE
"49737","49741",FALSE,FALSE,TRUE,FALSE
"49737","49765",FALSE,FALSE,TRUE,FALSE
"49737","49773",FALSE,FALSE,TRUE,FALSE
"49737","49743",FALSE,FALSE,TRUE,FALSE
"49739","49740",FALSE,FALSE,TRUE,FALSE
"49739","49741",FALSE,FALSE,TRUE,FALSE
"49739","49765",FALSE,FALSE,TRUE,FALSE
"49739","49773",FALSE,FALSE,TRUE,FALSE
"49739","49743",FALSE,FALSE,TRUE,FALSE
"49740","49765",FALSE,FALSE,TRUE,FALSE
"49740","49773",FALSE,FALSE,TRUE,FALSE
"49741","49765",FALSE,FALSE,TRUE,FALSE
"49741","49773",FALSE,FALSE,TRUE,FALSE
"49765","49773",FALSE,FALSE,TRUE,FALSE
"49743","49765",FALSE,FALSE,TRUE,FALSE
"49743","49773",FALSE,FALSE,TRUE,FALSE
"49677","49733",FALSE,FALSE,TRUE,FALSE
"49677","49774",FALSE,FALSE,TRUE,FALSE
"49733","49774",FALSE,FALSE,TRUE,FALSE
"49678","49730",FALSE,FALSE,TRUE,FALSE
"49678","49740",FALSE,FALSE,TRUE,FALSE
"49678","49741",FALSE,FALSE,TRUE,TRUE
"49678","49742",FALSE,FALSE,TRUE,FALSE
"49678","49743",FALSE,FALSE,TRUE,FALSE
"49730","49740",FALSE,FALSE,TRUE,FALSE
"49730","49742",FALSE,FALSE,TRUE,FALSE
"49740","49742",FALSE,FALSE,TRUE,FALSE
"49741","49742",FALSE,FALSE,TRUE,FALSE
"49742","49743",FALSE,FALSE,TRUE,FALSE
"49678","49684",FALSE,FALSE,FALSE,TRUE
"49678","49727",FALSE,FALSE,FALSE,TRUE
"49684","49727",FALSE,FALSE,FALSE,TRUE
"49684","49741",FALSE,FALSE,FALSE,TRUE
"49681","49754",FALSE,TRUE,FALSE,FALSE
"49750","49754",FALSE,TRUE,FALSE,FALSE
"49682","49756",FALSE,TRUE,FALSE,FALSE
"49686","49727",TRUE,FALSE,FALSE,FALSE
"49602","49686",TRUE,FALSE,FALSE,FALSE
"49697","49743",FALSE,TRUE,FALSE,FALSE
"49697","49707",FALSE,TRUE,FALSE,FALSE
"49697","49708",FALSE,TRUE,FALSE,FALSE
"49707","49756",FALSE,TRUE,FALSE,FALSE
"49707","49708",FALSE,TRUE,FALSE,FALSE
"49708","49743",FALSE,TRUE,FALSE,FALSE
"49707","49750",FALSE,TRUE,FALSE,FALSE
"49707","49724",FALSE,TRUE,FALSE,FALSE
"49707","49740",FALSE,TRUE,FALSE,FALSE
"49707","49755",FALSE,TRUE,FALSE,FALSE
"49724","49740",FALSE,TRUE,FALSE,FALSE
"49724","49755",FALSE,TRUE,FALSE,FALSE
"49740","49755",FALSE,TRUE,FALSE,FALSE
"49707","49718",FALSE,TRUE,FALSE,FALSE
"49707","49728",FALSE,TRUE,FALSE,FALSE
"49729","49730",TRUE,FALSE,FALSE,FALSE
"49729","49733",TRUE,FALSE,FALSE,FALSE
"49729","49735",TRUE,FALSE,FALSE,FALSE
"49729","49744",TRUE,FALSE,FALSE,FALSE
"49730","49733",TRUE,FALSE,FALSE,FALSE
"49730","49744",TRUE,FALSE,FALSE,FALSE
"49733","49735",TRUE,FALSE,FALSE,FALSE
"49733","49744",TRUE,FALSE,FALSE,FALSE
"49735","49744",TRUE,FALSE,FALSE,FALSE
"49691","49741",FALSE,FALSE,FALSE,TRUE
"49743","49752",FALSE,TRUE,FALSE,FALSE
"49743","49747",FALSE,TRUE,FALSE,FALSE
"49743","49749",FALSE,TRUE,FALSE,FALSE
"49624","49743",FALSE,TRUE,FALSE,FALSE
"49747","49749",FALSE,TRUE,FALSE,FALSE
"49624","49747",FALSE,TRUE,FALSE,FALSE
"49624","49749",FALSE,TRUE,FALSE,FALSE
"49689","49743",FALSE,TRUE,FALSE,FALSE
"49689","49750",FALSE,TRUE,FALSE,FALSE
"49750","49752",FALSE,TRUE,FALSE,FALSE
"49750","49757",FALSE,TRUE,FALSE,FALSE
"49731","49761",FALSE,TRUE,FALSE,FALSE
